"","id","question","desired_answer","student_answer","score_me","score_other","score_avg","feature","len_ratio"
"57",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",4,5,4.5,1.32268055428173,25
"58",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",5,5,5,0.990733171114015,18.5
"59",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier.",3,4,3.5,2.05226199527486,6
"60",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","The advantages is that OOP allows us to build classes of objects.  Three principles that make up OOP are:  Encapsulation- Objects combine data and operations.  Inheritance- Classes can inherit properties from other classes.  Polymorphism- Objects can determine appropriate operations at execution time.",2,3,2.5,1.68865105865767,15
"61",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.",3,4,3.5,2.00671099274231,5
"62",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.",1,1,1,1.31192679118213,9.5
"63",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",4,4,4,0.648804580654525,5
"64",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Encapsulation-objects combine data and operations Inheritance- classes can inherit properties from other classes Polymorphism- Objects can determine appropriate operations at execution time",2,3,2.5,1.45008129082994,9
"65",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Re-usability  and ease of maintenance",3,5,4,2.10288449518477,1.5
"66",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works.   Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance.   Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism. ",5,5,5,1.60893115231796,20
"67",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Existing classes can be reused, and program maintenance and verification are easier.",3,4,3.5,2.21107388864006,4
"68",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Using different modules allows for easier debugging",2,2,2,1.03812111245167,3
"69",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Data encapsulation concept,the use of functions or methods to manipulate data.",3,4,3.5,0.584172357901737,4
"70",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",5,4,4.5,0.686744120729146,5
"71",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.  Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",5,5,5,1.49380543475439,35
"72",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer.",4,5,4.5,1.07401066113488,8.5
"73",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Data Abstraction and control... it is possible to isolate elements from other elements a lot easier and prevent tampering of data.",3,4,3.5,0.869645083888183,6
"74",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Encapsulation - Objects use operations without knowing how the operation works. Inheritance - cuts redundancy by reusing earlier classes. Polymorphism - objects select the correct operation to use in the situation.",5,3,4,1.37504202418111,10.5
"75",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","They make it easier to reuse and adapt previously written code and they separate complex programs into smaller, easier to understand classes.",5,4,4.5,1.39133999289165,7
"76",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Existing classes can be reused, Program maintenance and verification are easier ",3,4,3.5,2.21107388864006,4
"77",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Existing classes can be feused, Program maintenance and verification are easier",3,4,3.5,1.90433723283297,4
"78",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",5,5,5,1.82018324162064,4.5
"79",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Existing classes can be reused Program maintenance and verifications are easy",3,5,4,2.33914180878852,4
"80",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","1- Existing classes can be reused 2- Program maintenance and verification are easier",3,4,3.5,1.97264963962318,5
"81",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Information can be hidden. It is easier to debug. Programming is easier and more manageable.",3,4,3.5,1.26023456789223,4
"82",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Existing classes can be reused, program maintenance and verification are   easier.",3,4,3.5,2.21107388864006,4
"83",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","existing classes can be reused program maintenance and verification are easier",3,4,3.5,2.21107388864006,4
"84",1.3,"What are the main advantages associated with object-oriented programming?","Abstraction and reusability.","Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class.  Example in the book included obj clock and how obj alarm would still use clock from the first class. ",3,4,3.5,1.09095898058701,17.5
"85",1.4,"Where do C++ programs begin to execute?","At the main function.","At function ‘int main ()’",5,5,5,2.50708981033441,2
"86",1.4,"Where do C++ programs begin to execute?","At the main function.","the Function main().",5,5,5,4.01329538584248,1
"87",1.4,"Where do C++ programs begin to execute?","At the main function.","c++ programs begin to execute in the main method.",5,5,5,2.73096441689089,3
"88",1.4,"Where do C++ programs begin to execute?","At the main function.","A C++ program will begin to execute at the main() function.",5,5,5,3.25455189868128,3.5
"89",1.4,"Where do C++ programs begin to execute?","At the main function.","They begin in the main() function.",5,5,5,3.41457213596321,1.5
"90",1.4,"Where do C++ programs begin to execute?","At the main function.","Int main()",5,5,5,2.10291470805627,1
"91",1.4,"Where do C++ programs begin to execute?","At the main function.","main method",5,5,5,2.26795936651954,1
"92",1.4,"Where do C++ programs begin to execute?","At the main function.","in the testing phase",0,0,0,0.273368422943396,1
"93",1.4,"Where do C++ programs begin to execute?","At the main function.","main",5,5,5,3.10480978444372,0.5
"94",1.4,"Where do C++ programs begin to execute?","At the main function.","They begin to execute at the funcion main().",5,5,5,1.81558777590904,2
"95",1.4,"Where do C++ programs begin to execute?","At the main function.","The main method.",5,5,5,2.26795936651954,1
"96",1.4,"Where do C++ programs begin to execute?","At the main function.","At the root",0,5,2.5,0.246590809512087,0.5
"97",1.4,"Where do C++ programs begin to execute?","At the main function.","In the main() function.",5,5,5,4.01329538584248,1
"98",1.4,"Where do C++ programs begin to execute?","At the main function.","C++ programs begin execution at main.",5,5,5,2.80092438784398,2.5
"99",1.4,"Where do C++ programs begin to execute?","At the main function.","In the Main function..?",5,5,5,4.01329538584248,1
"100",1.4,"Where do C++ programs begin to execute?","At the main function.","At the ""main()"" function",5,5,5,4.01329538584248,1
"101",1.4,"Where do C++ programs begin to execute?","At the main function.","The main function.",5,5,5,4.01329538584248,1
"102",1.4,"Where do C++ programs begin to execute?","At the main function.","The function main",5,5,5,4.01329538584248,1
"103",1.4,"Where do C++ programs begin to execute?","At the main function.","After loading the required include statements and libraries, the main method begins the execution.",5,5,5,1.50094839109843,4.5
"104",1.4,"Where do C++ programs begin to execute?","At the main function.","main function",5,5,5,4.01329538584248,1
"105",1.4,"Where do C++ programs begin to execute?","At the main function.","main",5,5,5,3.10480978444372,0.5
"106",1.4,"Where do C++ programs begin to execute?","At the main function.","C++ programs begin execution at the main function.",5,5,5,3.54592761348528,3
"107",1.4,"Where do C++ programs begin to execute?","At the main function.","At main",5,5,5,3.10480978444372,0.5
"108",1.4,"Where do C++ programs begin to execute?","At the main function.","they beging to excute at main",5,5,5,1.46655150208175,1.5
"109",1.4,"Where do C++ programs begin to execute?","At the main function.","at the main function  int main() {}",5,5,5,3.27575689206874,2
"110",1.4,"Where do C++ programs begin to execute?","At the main function.","C++ programs begin execution at the main function.",5,5,5,3.54592761348528,3
"111",1.4,"Where do C++ programs begin to execute?","At the main function.","in the ""main"" function",5,5,5,4.01329538584248,1
"112",1.4,"Where do C++ programs begin to execute?","At the main function.","Within the main function",5,5,5,2.93464159140781,1.5
"141",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","They can be declared right before they are used, but it is a good practice to declare them at the beginning of the program and label what they are food.",1,3,2,1.62722879699553,0.733333333333333
"142",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","In the Function main() before using the variable.",1,5,3,1.97500072090814,0.266666666666667
"143",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Local variables are declared inside the method or function they will be used in at the beginning of the method. Global variables are declared outside of any function or method, generally before functions are defined.",5,5,5,2.82484540945794,1.26666666666667
"144",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Variables are declared where ever it is defined either inside a block locally or outside a block globally.",4,5,4.5,2.34645541628747,0.733333333333333
"145",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Variables are declared before they are actually used. They can be declared before main() to use globally",3,5,4,2.32872521211072,0.6
"146",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","For good programing practice they should be declared before main(), but should at least be declared before they are used.",2,3,2.5,1.51876239961052,0.533333333333333
"147",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","They can be declared globally just before the main method (but also outside of it)... or variables can be subject to only the method they're scoped within, but would still be declared at the beginning of that method (but inside of it).",5,5,5,2.25908740321756,1.33333333333333
"148",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","local variables are declared inside the method while global variables are declared in the body.",5,5,5,2.57247435029888,0.6
"149",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Globally for an entire program, and locally for individual functions (including FOR statements)",4,5,4.5,1.81135824458808,0.533333333333333
"150",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","They are usually declared at the beginning before they can be used in the program. They always contain a name and a data type.",2,4,3,1.64737465158943,0.733333333333333
"151",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Inside the method.",2,3,2.5,1.56795154532576,0.133333333333333
"152",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","at the top",1,2,1.5,0.305813111038408,0.0666666666666667
"153",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Global variables are declared in the body of the code. Local variables are declared in the function they are to be used (unless the function is being passed a variable). Variables should always be declared before use.",5,5,5,2.29143905238396,1.2
"154",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Variables are usually declared at the beginning of a module of C++ code.",2,3,2.5,2.78311318251528,0.466666666666667
"155",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","In the main function, usually at the top of code.  They can be declared almost anywhere, but must be declared before the code can use or act upon them.",3,4,3.5,2.03926718839191,1.06666666666667
"156",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","in the very beginning of the program. Before the main() starts.",1,3,2,1.15344537927522,0.266666666666667
"157",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","In the declaration of Functions, for statements, and while statements. in the body of If, For, while, do while, statements, in namespaces, headers, etc  ( almost anywhere. ) anywhere in the program, as long as it is on it's own line.",2,3,2.5,1.62499475155047,1
"158",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","After declaration of the variable's data type.",1,1,1,1.30461852401402,0.266666666666667
"159",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","anywhere in the code, can be at the top, or in the middle of the code, or anywhere.",3,3,3,1.49350239032919,0.466666666666667
"160",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Before they are used.",2,2,2,1.17621992543352,0.0666666666666667
"161",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Anywhere in the same scope before they are used",3,4,3.5,1.60641967117257,0.2
"162",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","variables can be declared in classes and methods.",1,4,2.5,1.88981076841144,0.333333333333333
"163",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","inside the function scope and outside of the function scope in case of global variables",5,5,5,2.4364253687518,0.6
"164",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","global variables are declared in the main function local variables are declared in any other function",3,5,4,2.71007668500836,0.6
"165",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Variables are usually declared at the very beginning of a C++ program, but can be declared any in the program as long as they appear before they are called upon.",4,4,4,2.81924336140576,0.866666666666667
"166",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","Variables are declared in the main function, before any operation is   attempted with the variables.",1,3,2,1.70101105498647,0.466666666666667
"167",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","anywhere, but where you declare them depends on where you want them to be accessible (their scope)",4,5,4.5,1.22091730201735,0.4
"168",1.6,"Where are variables declared in a C++ program?","Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables)","It depends if it’s a global then they have to be declared out side the source code to be used in every scope however a local variable is one declared in a local function etc. which obviously doesn’t need to be declared outside the variable seeing how it is used for the function or block its being called for.",4,5,4.5,1.99654909076874,1.93333333333333
"227",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Data members are the data components of a particular class.  A member function are the functioning components of the class.",1,5,3,1.62436360872568,0.647058823529412
"228",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A field variable is a variable that is declared as a member of a class. A local variable is avariable that isdeclared local to a method.",1,4,2.5,1.58882671595538,0.705882352941177
"229",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Data members are declared inside the class, but outside of any member functions. Unlike with local variables, each object of the class keeps its own copy of the data members stored in memory.",4,5,4.5,2.16229858474479,1.11764705882353
"230",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","Data member are variables that represent an attribute in a class definition.  Local variables declared in a function body cannot be used outside of that function body.  When a function terminates the values of its local variables are lost.",4,5,4.5,2.33749417945437,1.29411764705882
"231",2.2,"What is the difference between a data member and a local variable inside a member function?","Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.","A local variable cannot be accessed outside the function in which it is declared. Data members normally are private. Variables of functions declared private are accessible only to member functions of the class in which they are declared.",5,5,5,2.41797653331093,1.11764705882353
